condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
d_all	prefix_i_do_not	25	0.891579440062085	0.98989898989899	0.9130434782608696	0.9473684210526316	0.8505747126436781	0.9247311827956989		denial	1	1	1	0	0
d_all	prefix_i_do_not	26	0.898650092049781	0.9583333333333334	0.9247311827956989	0.9361702127659575	0.8372093023255813	0.9010989010989011		denial	1	1	1	0	0
d_all	prefix_i_experience	14	0.9519007021720813	0.9583333333333334	0.9583333333333334	0.9130434782608696	0.98989898989899	0.9361702127659575		experiential	0	1	1	0	0
d_all	prefix_i_experience	15	0.937750064116569	0.9130434782608696	0.9361702127659575	0.8505747126436781	0.9690721649484536	0.9583333333333334		experiential	0	1	1	0	0
d_all	prefix_i_experience	16	0.9431671920959499	0.9361702127659575	0.9361702127659575	0.9130434782608696	0.9795918367346939	0.9583333333333334		experiential	0	1	1	0	0
d_all	prefix_i_experience	24	0.9232510441085552	0.9795918367346939	0.9247311827956989	0.8764044943820225	0.9795918367346939	0.9361702127659575		experiential	0	1	1	0	0
d_all	prefix_i_experience	25	0.9344287797913112	0.9795918367346939	0.9247311827956989	0.9247311827956989	0.9690721649484536	0.9583333333333334		experiential	0	1	1	0	0
d_all	prefix_i_experience	26	0.9330463699231113	0.9795918367346939	0.9130434782608696	0.9473684210526316	0.9473684210526316	0.9473684210526316		experiential	0	1	1	0	0
d_all	prefix_i_am_treating	14	0.9369319494066114	0.9690721649484536	0.8636363636363636	0.8095238095238095	0.98989898989899	0.9361702127659575		mode_answer	0	1	0	0	1
d_all	prefix_i_am_treating	15	0.9385016358351215	0.9473684210526316	0.8636363636363636	0.8372093023255813	0.9795918367346939	0.9690721649484536		mode_answer	0	1	0	0	1
d_all	prefix_i_am_treating	16	0.9334448858077201	0.9583333333333334	0.8764044943820225	0.8095238095238095	0.98989898989899	0.9690721649484536		mode_answer	0	1	0	0	1
d_all	prefix_i_am_treating	24	0.9325434458671741	0.9795918367346939	0.8764044943820225	0.8888888888888888	0.9583333333333334	0.9473684210526316		mode_answer	0	1	0	0	1
d_all	prefix_i_am_treating	25	0.942075024914919	0.9795918367346939	0.9010989010989011	0.8888888888888888	0.9473684210526316	0.9690721649484536		mode_answer	0	1	0	0	1
d_all	prefix_i_am_treating	26	0.9412802587320352	0.9583333333333334	0.9247311827956989	0.9010989010989011	0.9583333333333334	0.9583333333333334		mode_answer	0	1	0	0	1
d_all	prefix_the_active_mode	14	0.9662470476517392	0.9473684210526316	0.9583333333333334	0.9361702127659575	0.98989898989899			mode_answer	0	1	1	0	1
d_all	prefix_the_active_mode	15	0.9545090848064675	0.9473684210526316	0.9473684210526316	0.9361702127659575	0.9795918367346939			mode_answer	0	1	1	0	1
d_all	prefix_the_active_mode	16	0.9520504346973521	0.9473684210526316	0.9130434782608696	0.9583333333333334	0.9473684210526316			mode_answer	0	1	1	0	1
d_all	prefix_the_active_mode	24	0.9331700021310977	0.9690721649484536	0.9583333333333334	0.9010989010989011	0.9795918367346939			mode_answer	0	1	1	0	1
d_all	prefix_the_active_mode	25	0.9343982303757238	0.9795918367346939	0.9473684210526316	0.9473684210526316	0.9690721649484536			mode_answer	0	1	1	0	1
d_all	prefix_the_active_mode	26	0.9347514868144647	0.9473684210526316	0.9361702127659575	0.9473684210526316	0.9795918367346939			mode_answer	0	1	1	0	1
d_all	prefix_surface_form	14	0.9261712948675003	0.9690721649484536	0.9583333333333334	0.9130434782608696	0.98989898989899	0.9583333333333334		surface_form_answer	0	1	1	1	0
d_all	prefix_surface_form	15	0.9375983606589947	0.9583333333333334	0.9473684210526316	0.9130434782608696	0.98989898989899	0.9473684210526316		surface_form_answer	0	1	1	1	0
d_all	prefix_surface_form	16	0.9251583742678183	0.9361702127659575	0.9690721649484536	0.9010989010989011	0.9795918367346939	0.9247311827956989		surface_form_answer	0	1	1	1	0
d_all	prefix_surface_form	24	0.9197587999429998	0.9795918367346939	0.9247311827956989	0.9010989010989011	0.98989898989899	0.8764044943820225		surface_form_answer	0	1	1	1	0
d_all	prefix_surface_form	25	0.925456893633619	0.98989898989899	0.9361702127659575	0.9473684210526316	0.9795918367346939	0.8888888888888888		surface_form_answer	0	1	1	1	0
d_all	prefix_surface_form	26	0.934639837564343	0.9583333333333334	0.9473684210526316	0.9583333333333334	0.9690721649484536	0.9010989010989011		surface_form_answer	0	1	1	1	0
d_high_impact	greedy_no_prefix	14	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_high_impact	greedy_no_prefix	15	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_high_impact	greedy_no_prefix	16	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_high_impact	greedy_no_prefix	24	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_high_impact	greedy_no_prefix	25	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_high_impact	greedy_no_prefix	26	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
d_high_impact	prefix_no	14	0.9101343280793328	0.9361702127659575	0.8888888888888888	0.9690721649484536	0.8764044943820225	0.9473684210526316		denial	1	1	0	0	0
d_high_impact	prefix_no	15	0.907051079602672	0.8888888888888888	0.8636363636363636	0.9795918367346939	0.8505747126436781	0.9583333333333334		denial	1	1	0	0	0
d_high_impact	prefix_no	16	0.9011957868676874	0.8888888888888888	0.8888888888888888	0.9473684210526316	0.8888888888888888	0.9795918367346939		denial	1	1	0	0	0
d_high_impact	prefix_no	24	0.8736083420572255	0.9130434782608696	0.7951807228915663	0.9010989010989011	0.9010989010989011	0.9795918367346939		denial	1	1	0	0	0
d_high_impact	prefix_no	25	0.8763521409966898	0.9473684210526316	0.75	0.9130434782608696	0.9130434782608696	0.9690721649484536		denial	1	1	0	0	0
d_high_impact	prefix_no	26	0.8651903656054928	0.9361702127659575	0.7341772151898734	0.9473684210526316	0.8372093023255813	0.9473684210526316		denial	1	1	0	0	0
d_high_impact	prefix_yes	14	0.9385710471194252	0.9010989010989011	0.8636363636363636	0.9361702127659575	0.9583333333333334	0.9247311827956989		affirmative_hum	0	1	1	0	0
d_high_impact	prefix_yes	15	0.9272203697046247	0.8888888888888888	0.8636363636363636	0.9247311827956989	0.9473684210526316	0.9473684210526316		affirmative_hum	0	1	1	0	0
d_high_impact	prefix_yes	16	0.9333604682646239	0.8888888888888888	0.8888888888888888	0.9583333333333334	0.9690721649484536	0.9583333333333334		affirmative_hum	0	1	1	0	0
d_high_impact	prefix_yes	24	0.9140048584434953	0.9247311827956989	0.7804878048780488	0.8636363636363636	0.9690721649484536	0.9361702127659575		affirmative_hum	0	1	1	0	0
d_high_impact	prefix_yes	25	0.9099804938974841	0.9583333333333334	0.7341772151898734	0.8888888888888888	0.9690721649484536	0.9583333333333334		affirmative_hum	0	1	1	0	0
d_high_impact	prefix_yes	26	0.9054487245407562	0.9361702127659575	0.717948717948718	0.9473684210526316	0.9473684210526316	0.9795918367346939		affirmative_hum	0	1	1	0	0
d_high_impact	prefix_checking	14	0.9402556316443348	0.9130434782608696	0.8505747126436781	0.9473684210526316	0.9583333333333334	0.98989898989899		checking	0	0	0	0	0
d_high_impact	prefix_checking	15	0.9270762515912835	0.9130434782608696	0.8372093023255813	0.9010989010989011	0.9795918367346939	0.98989898989899		checking	0	0	0	0	0
d_high_impact	prefix_checking	16	0.9318698424235015	0.8888888888888888	0.8636363636363636	0.9473684210526316	0.9583333333333334	0.9473684210526316		checking	0	0	0	0	0
d_high_impact	prefix_checking	24	0.9145351256960937	0.9361702127659575	0.7341772151898734	0.8888888888888888	0.9473684210526316	0.9690721649484536		checking	0	0	0	0	0
d_high_impact	prefix_checking	25	0.918423155663891	0.9583333333333334	0.6486486486486487	0.9130434782608696	0.9583333333333334	0.9583333333333334		checking	0	0	0	0	0
d_high_impact	prefix_checking	26	0.9104791255234829	0.8888888888888888	0.6111111111111112	0.9690721649484536	0.9010989010989011	0.9795918367346939		checking	0	0	0	0	0
d_high_impact	prefix_there_is	14	0.9345860647963498	0.8505747126436781	0.9130434782608696	0.9473684210526316	1.0	0.9247311827956989		denial	1	1	1	0	0
d_high_impact	prefix_there_is	15	0.9308527433091207	0.8636363636363636	0.9010989010989011	0.9247311827956989	0.98989898989899	0.9690721649484536		denial	1	1	1	0	0
d_high_impact	prefix_there_is	16	0.9326483650158232	0.8764044943820225	0.9247311827956989	0.9247311827956989	0.98989898989899	0.9361702127659575		denial	1	1	1	0	0
d_high_impact	prefix_there_is	24	0.914820325772829	0.9583333333333334	0.8764044943820225	0.8888888888888888	0.98989898989899	0.9247311827956989		denial	1	1	1	0	0
d_high_impact	prefix_there_is	25	0.9237614170370242	0.9795918367346939	0.9247311827956989	0.9130434782608696	0.98989898989899	0.9583333333333334		denial	1	1	1	0	0
d_high_impact	prefix_there_is	26	0.9239448534434821	0.9583333333333334	0.8888888888888888	0.9247311827956989	0.9690721649484536	0.9361702127659575		denial	1	1	1	0	0
d_high_impact	prefix_i_do_not	14	0.9103101924217455	0.9690721649484536	0.9361702127659575	0.8764044943820225	0.8372093023255813	0.8235294117647058		denial	1	1	1	0	0
d_high_impact	prefix_i_do_not	15	0.8964991132151413	0.9473684210526316	0.9473684210526316	0.8636363636363636	0.8095238095238095	0.8764044943820225		denial	1	1	1	0	0
d_high_impact	prefix_i_do_not	16	0.9014045891255352	0.9473684210526316	0.9583333333333334	0.9130434782608696	0.8764044943820225	0.8505747126436781		denial	1	1	1	0	0
d_high_impact	prefix_i_do_not	24	0.8758735587610248	0.9690721649484536	0.8888888888888888	0.9130434782608696	0.8372093023255813	0.9010989010989011		denial	1	1	1	0	0
d_high_impact	prefix_i_do_not	25	0.891579440062085	0.98989898989899	0.9130434782608696	0.9473684210526316	0.8505747126436781	0.9247311827956989		denial	1	1	1	0	0
d_high_impact	prefix_i_do_not	26	0.898650092049781	0.9583333333333334	0.9247311827956989	0.9361702127659575	0.8372093023255813	0.9010989010989011		denial	1	1	1	0	0
d_high_impact	prefix_i_experience	14	0.9519007021720813	0.9583333333333334	0.9583333333333334	0.9130434782608696	0.98989898989899	0.9361702127659575		experiential	0	1	1	0	0
d_high_impact	prefix_i_experience	15	0.937750064116569	0.9130434782608696	0.9361702127659575	0.8505747126436781	0.9690721649484536	0.9583333333333334		experiential	0	1	1	0	0
d_high_impact	prefix_i_experience	16	0.9431671920959499	0.9361702127659575	0.9361702127659575	0.9130434782608696	0.9795918367346939	0.9583333333333334		experiential	0	1	1	0	0
d_high_impact	prefix_i_experience	24	0.9232510441085552	0.9795918367346939	0.9247311827956989	0.8764044943820225	0.9795918367346939	0.9361702127659575		experiential	0	1	1	0	0
d_high_impact	prefix_i_experience	25	0.9344287797913112	0.9795918367346939	0.9247311827956989	0.9247311827956989	0.9690721649484536	0.9583333333333334		experiential	0	1	1	0	0
